TankID,GasStationID,TankName,Capacity,MaterialType,CurrentQuantity
1,1,RON95-III Tank,20000,Steel,10737.259999999967
2,1,E5 RON92-II Tank,20000,Steel,11007.360000000011
3,1,"DO 0,001S-V Tank",80000,Steel,48516.34
4,2,RON95-III Tank,20000,Steel,11344.740000000016
5,2,E5 RON92-II Tank,10000,Steel,3893.2000000000016
6,2,"DO 0,001S-V Tank",10000,Steel,8778.300000000005
7,3,RON95-III Tank,80000,Steel,43054.05000000002
8,3,E5 RON92-II Tank,20000,Steel,10550.69
9,3,"DO 0,001S-V Tank",20000,Steel,16583.750000000015
10,4,RON95-III Tank,20000,Steel,11441.859999999999
11,4,E5 RON92-II Tank,10000,Steel,3812.4100000000067
12,4,"DO 0,001S-V Tank",40000,Steel,17316.460000000054
13,5,RON95-III Tank,80000,Steel,43330.13000000014
14,5,E5 RON92-II Tank,10000,Steel,3271.4499999999894
15,5,"DO 0,001S-V Tank",20000,Steel,17442.74
16,6,RON95-III Tank,80000,Steel,42217.91000000005
17,6,E5 RON92-II Tank,80000,Steel,41950.79999999993
18,6,"DO 0,001S-V Tank",20000,Steel,15850.049999999994
19,7,RON95-III Tank,40000,Steel,11308.670000000033
20,7,E5 RON92-II Tank,20000,Steel,11183.270000000013
21,7,"DO 0,001S-V Tank",80000,Steel,49079.77999999991
22,8,RON95-III Tank,10000,Steel,3236.6600000000017
23,8,E5 RON92-II Tank,10000,Steel,2664.2599999999948
24,8,"DO 0,001S-V Tank",40000,Steel,16267.520000000026
25,9,RON95-III Tank,80000,Steel,43776.54000000002
26,9,E5 RON92-II Tank,40000,Steel,11231.759999999955
27,9,"DO 0,001S-V Tank",10000,Steel,8573.250000000002
28,10,RON95-III Tank,20000,Steel,11510.030000000022
29,10,E5 RON92-II Tank,10000,Steel,3161.3399999999965
30,10,"DO 0,001S-V Tank",20000,Steel,16848.790000000034
31,11,RON95-III Tank,20000,Steel,11399.600000000006
32,11,E5 RON92-II Tank,40000,Steel,11229.490000000045
33,11,"DO 0,001S-V Tank",10000,Steel,8920.370000000006
34,12,RON95-III Tank,40000,Steel,11678.990000000082
35,12,E5 RON92-II Tank,40000,Steel,11497.150000000047
36,12,"DO 0,001S-V Tank",80000,Steel,48932.49000000006
37,13,RON95-III Tank,20000,Steel,10588.939999999977
38,13,E5 RON92-II Tank,80000,Steel,43037.429999999906
39,13,"DO 0,001S-V Tank",10000,Steel,7992.330000000008
40,14,RON95-III Tank,10000,Steel,3157.119999999998
41,14,E5 RON92-II Tank,80000,Steel,42999.85999999998
42,14,"DO 0,001S-V Tank",10000,Steel,8775.299999999997
43,15,RON95-III Tank,80000,Steel,43093.59000000004
44,15,E5 RON92-II Tank,20000,Steel,10925.760000000022
45,15,"DO 0,001S-V Tank",10000,Steel,8376.69999999999
46,16,RON95-III Tank,40000,Steel,11170.210000000085
47,16,E5 RON92-II Tank,10000,Steel,3151.450000000003
48,16,"DO 0,001S-V Tank",40000,Steel,17083.360000000037
49,17,RON95-III Tank,20000,Steel,10315.83
50,17,E5 RON92-II Tank,10000,Steel,2659.560000000018
51,17,"DO 0,001S-V Tank",80000,Steel,47906.120000000046
