InvoiceDetailID,InvoiceID,ProductID,QuantitySold,SellingPrice,TotalPrice
1,1,1,4.98,23830,118673.4
2,1,2,3.1,22910,71021.0
3,2,1,13.68,23830,325994.4
4,2,2,13.17,22910,301724.7
5,2,3,6.8,20790,141372.0
6,3,1,1.91,23830,45515.3
7,3,2,3.63,22910,83163.3
8,4,1,1.5,23830,35745.0
9,4,2,1.04,22910,23826.4
10,5,1,1.74,23830,41464.2
11,5,2,2.19,22910,50172.9
12,6,1,2.59,23830,61719.7
13,6,2,1.25,22910,28637.5
14,7,1,5.46,23830,130111.8
15,7,2,8.27,22910,189465.7
16,7,3,16.01,20790,332847.9
17,8,1,2.57,23830,61243.1
18,8,2,2.74,22910,62773.4
19,9,1,1.66,23830,39557.8
20,9,2,3.22,22910,73770.20000000001
21,10,1,3.11,23830,74111.3
22,10,2,4.27,22910,97825.7
23,11,1,5.12,23830,122009.6
24,11,2,17.24,22910,394968.4
25,11,3,18.77,20790,390228.3
725,301,1,1.19,23830,28357.7
726,301,2,6.12,22910,140209.2
727,301,3,1.34,20790,27858.6
728,302,1,6.07,23830,144648.1
729,302,2,19.03,22910,435977.3000000001
730,302,3,6.1,20790,126819.0
731,303,1,2.74,23830,65294.2
732,303,2,2.68,22910,61398.8
733,304,1,4.1,23830,97703.0
734,304,2,1.37,22910,31386.7
735,305,1,16.96,23830,404156.8000000001
736,305,2,12.96,22910,296913.60000000003
737,305,3,13.94,20790,289812.6
738,306,1,1.59,23830,37889.7
739,306,2,1.95,22910,44674.5
740,307,1,3.91,23830,93175.3
741,307,2,3.94,22910,90265.4
742,308,1,9.23,23830,219950.9
743,308,2,19.21,22910,440101.1
744,308,3,11.76,20790,244490.4
745,309,1,10.41,23830,248070.3
746,309,2,9.91,22910,227038.1
747,309,3,4.71,20790,97920.9
748,310,1,3.15,23830,75064.5
749,310,2,4.73,22910,108364.3
750,311,1,10.79,23830,257125.7
751,311,2,13.65,22910,312721.5
752,311,3,15.57,20790,323700.3
753,312,1,2.22,23830,52902.600000000006
754,312,2,3.04,22910,69646.4
755,313,1,15.12,23830,360309.6
756,313,2,15.13,22910,346628.30000000005
757,313,3,14.44,20790,300207.6
1460,602,1,4.38,23830,104375.4
1461,602,2,3.87,22910,88661.7
1462,603,1,3.96,23830,94366.8
1463,603,2,16.75,22910,383742.5
1464,603,3,3.07,20790,63825.3
1465,604,1,4.83,23830,115098.9
1466,604,2,2.4,22910,54984.0
1467,605,1,1.47,23830,35030.1
1468,605,2,3.81,22910,87287.1
1469,606,1,4.3,23830,102469.0
1470,606,2,1.2,22910,27492.0
1471,607,1,4.34,23830,103422.2
1472,607,2,2.66,22910,60940.600000000006
1473,608,1,13.37,23830,318607.1
1474,608,2,15.99,22910,366330.9
1475,608,3,15.08,20790,313513.2
1476,609,1,4.48,23830,106758.4
1477,609,2,2.74,22910,62773.4
1478,610,1,1.52,23830,36221.6
1479,610,2,4.79,22910,109738.9
1480,611,1,4.38,23830,104375.4
1481,611,2,2.55,22910,58420.49999999999
1482,612,1,2.89,23830,68868.7
1483,612,2,4.65,22910,106531.5
1484,613,1,3.02,23830,71966.6
1485,613,2,9.52,22910,218103.2
1486,613,3,19.09,20790,396881.1
1487,614,1,7.12,23830,169669.6
1488,614,2,5.58,22910,127837.8
1489,614,3,14.66,20790,304781.4
1490,615,1,3.39,23830,80783.7
1491,615,2,1.82,22910,41696.2
2116,871,1,2.06,23830,49089.8
2117,871,2,3.53,22910,80872.29999999999
2118,872,1,8.86,23830,211133.8
2119,872,2,2.58,22910,59107.8
2120,872,3,5.17,20790,107484.3
2121,873,1,1.07,23830,25498.1
2122,873,2,18.37,22910,420856.7
2123,873,3,16.16,20790,335966.4
2124,874,1,9.51,23830,226623.3
2125,874,2,2.64,22910,60482.4
2126,874,3,10.58,20790,219958.2
2127,875,1,1.36,23830,32408.800000000003
2128,875,2,4.55,22910,104240.5
2129,876,1,7.83,23830,186588.9
2130,876,2,14.45,22910,331049.5
2131,876,3,5.87,20790,122037.3
