station_id,region,mapping_basis
1,Business Region 01,simulated_station_id_groups_of_25
2,Business Region 01,simulated_station_id_groups_of_25
3,Business Region 01,simulated_station_id_groups_of_25
4,Business Region 01,simulated_station_id_groups_of_25
5,Business Region 01,simulated_station_id_groups_of_25
6,Business Region 01,simulated_station_id_groups_of_25
7,Business Region 01,simulated_station_id_groups_of_25
8,Business Region 01,simulated_station_id_groups_of_25
9,Business Region 01,simulated_station_id_groups_of_25
10,Business Region 01,simulated_station_id_groups_of_25
11,Business Region 01,simulated_station_id_groups_of_25
12,Business Region 01,simulated_station_id_groups_of_25
13,Business Region 01,simulated_station_id_groups_of_25
14,Business Region 01,simulated_station_id_groups_of_25
15,Business Region 01,simulated_station_id_groups_of_25
16,Business Region 01,simulated_station_id_groups_of_25
17,Business Region 01,simulated_station_id_groups_of_25
18,Business Region 01,simulated_station_id_groups_of_25
19,Business Region 01,simulated_station_id_groups_of_25
20,Business Region 01,simulated_station_id_groups_of_25
21,Business Region 01,simulated_station_id_groups_of_25
22,Business Region 01,simulated_station_id_groups_of_25
23,Business Region 01,simulated_station_id_groups_of_25
24,Business Region 01,simulated_station_id_groups_of_25
25,Business Region 01,simulated_station_id_groups_of_25
26,Business Region 02,simulated_station_id_groups_of_25
27,Business Region 02,simulated_station_id_groups_of_25
28,Business Region 02,simulated_station_id_groups_of_25
29,Business Region 02,simulated_station_id_groups_of_25
30,Business Region 02,simulated_station_id_groups_of_25
31,Business Region 02,simulated_station_id_groups_of_25
32,Business Region 02,simulated_station_id_groups_of_25
33,Business Region 02,simulated_station_id_groups_of_25
34,Business Region 02,simulated_station_id_groups_of_25
35,Business Region 02,simulated_station_id_groups_of_25
36,Business Region 02,simulated_station_id_groups_of_25
37,Business Region 02,simulated_station_id_groups_of_25
38,Business Region 02,simulated_station_id_groups_of_25
39,Business Region 02,simulated_station_id_groups_of_25
40,Business Region 02,simulated_station_id_groups_of_25
41,Business Region 02,simulated_station_id_groups_of_25
42,Business Region 02,simulated_station_id_groups_of_25
43,Business Region 02,simulated_station_id_groups_of_25
44,Business Region 02,simulated_station_id_groups_of_25
45,Business Region 02,simulated_station_id_groups_of_25
46,Business Region 02,simulated_station_id_groups_of_25
47,Business Region 02,simulated_station_id_groups_of_25
48,Business Region 02,simulated_station_id_groups_of_25
49,Business Region 02,simulated_station_id_groups_of_25
50,Business Region 02,simulated_station_id_groups_of_25
51,Business Region 03,simulated_station_id_groups_of_25
52,Business Region 03,simulated_station_id_groups_of_25
53,Business Region 03,simulated_station_id_groups_of_25
54,Business Region 03,simulated_station_id_groups_of_25
55,Business Region 03,simulated_station_id_groups_of_25
56,Business Region 03,simulated_station_id_groups_of_25
57,Business Region 03,simulated_station_id_groups_of_25
58,Business Region 03,simulated_station_id_groups_of_25
59,Business Region 03,simulated_station_id_groups_of_25
60,Business Region 03,simulated_station_id_groups_of_25
61,Business Region 03,simulated_station_id_groups_of_25
62,Business Region 03,simulated_station_id_groups_of_25
63,Business Region 03,simulated_station_id_groups_of_25
64,Business Region 03,simulated_station_id_groups_of_25
65,Business Region 03,simulated_station_id_groups_of_25
66,Business Region 03,simulated_station_id_groups_of_25
67,Business Region 03,simulated_station_id_groups_of_25
68,Business Region 03,simulated_station_id_groups_of_25
69,Business Region 03,simulated_station_id_groups_of_25
70,Business Region 03,simulated_station_id_groups_of_25
71,Business Region 03,simulated_station_id_groups_of_25
72,Business Region 03,simulated_station_id_groups_of_25
73,Business Region 03,simulated_station_id_groups_of_25
74,Business Region 03,simulated_station_id_groups_of_25
75,Business Region 03,simulated_station_id_groups_of_25
76,Business Region 04,simulated_station_id_groups_of_25
77,Business Region 04,simulated_station_id_groups_of_25
78,Business Region 04,simulated_station_id_groups_of_25
79,Business Region 04,simulated_station_id_groups_of_25
80,Business Region 04,simulated_station_id_groups_of_25
81,Business Region 04,simulated_station_id_groups_of_25
82,Business Region 04,simulated_station_id_groups_of_25
83,Business Region 04,simulated_station_id_groups_of_25
84,Business Region 04,simulated_station_id_groups_of_25
85,Business Region 04,simulated_station_id_groups_of_25
86,Business Region 04,simulated_station_id_groups_of_25
87,Business Region 04,simulated_station_id_groups_of_25
88,Business Region 04,simulated_station_id_groups_of_25
89,Business Region 04,simulated_station_id_groups_of_25
90,Business Region 04,simulated_station_id_groups_of_25
91,Business Region 04,simulated_station_id_groups_of_25
92,Business Region 04,simulated_station_id_groups_of_25
93,Business Region 04,simulated_station_id_groups_of_25
94,Business Region 04,simulated_station_id_groups_of_25
95,Business Region 04,simulated_station_id_groups_of_25
96,Business Region 04,simulated_station_id_groups_of_25
97,Business Region 04,simulated_station_id_groups_of_25
98,Business Region 04,simulated_station_id_groups_of_25
99,Business Region 04,simulated_station_id_groups_of_25
100,Business Region 04,simulated_station_id_groups_of_25
