TransactionID,TankID,QuantityIn,QuantityOut,RemainingQuantity,TransactionDate
1,1,0.0,4.98,15995.02,2024-03-15 00:00:00
2,2,0.0,3.1,15996.9,2024-03-15 00:00:00
3,7,0.0,13.68,63986.32,2024-03-15 00:00:00
4,8,0.0,13.17,15986.83,2024-03-15 00:00:00
5,9,0.0,6.8,15993.2,2024-03-15 00:00:00
6,10,0.0,1.91,15998.09,2024-03-15 00:00:00
7,11,0.0,3.63,7996.37,2024-03-15 00:00:00
8,10,0.0,1.5,15996.59,2024-03-15 00:00:00
9,11,0.0,1.04,7995.33,2024-03-15 00:00:00
10,10,0.0,1.74,15994.85,2024-03-15 00:00:00
11,11,0.0,2.19,7993.14,2024-03-15 00:00:00
12,13,0.0,2.59,63997.41,2024-03-15 00:00:00
13,14,0.0,1.25,7998.75,2024-03-15 00:00:00
14,16,0.0,5.46,63994.54,2024-03-15 00:00:00
15,17,0.0,8.27,63991.73,2024-03-15 00:00:00
16,18,0.0,16.01,15983.99,2024-03-15 00:00:00
17,22,0.0,2.57,7997.43,2024-03-15 00:00:00
18,23,0.0,2.74,7997.26,2024-03-15 00:00:00
19,22,0.0,1.66,7995.77,2024-03-15 00:00:00
20,23,0.0,3.22,7994.04,2024-03-15 00:00:00
21,25,0.0,3.11,63996.89,2024-03-15 00:00:00
22,26,0.0,4.27,31995.73,2024-03-15 00:00:00
23,25,0.0,5.12,63991.77,2024-03-15 00:00:00
24,26,0.0,17.24,31978.49,2024-03-15 00:00:00
25,27,0.0,18.77,7981.23,2024-03-15 00:00:00
725,4,0.0,1.19,15998.81,2024-03-15 01:00:00
726,5,0.0,6.12,7993.88,2024-03-15 01:00:00
727,6,0.0,1.34,7998.66,2024-03-15 01:00:00
728,4,0.0,6.07,15992.74,2024-03-15 01:00:00
729,5,0.0,19.03,7974.85,2024-03-15 01:00:00
730,6,0.0,6.1,7992.559999999999,2024-03-15 01:00:00
731,7,0.0,2.74,63983.58,2024-03-15 01:00:00
732,8,0.0,2.68,15984.15,2024-03-15 01:00:00
733,7,0.0,4.1,63979.48,2024-03-15 01:00:00
734,8,0.0,1.37,15982.78,2024-03-15 01:00:00
735,10,0.0,16.96,15977.89,2024-03-15 01:00:00
736,11,0.0,12.96,7980.18,2024-03-15 01:00:00
737,12,0.0,13.94,31986.06,2024-03-15 01:00:00
738,10,0.0,1.59,15976.3,2024-03-15 01:00:00
739,11,0.0,1.95,7978.23,2024-03-15 01:00:00
740,13,0.0,3.91,63993.5,2024-03-15 01:00:00
741,14,0.0,3.94,7994.81,2024-03-15 01:00:00
742,13,0.0,9.23,63984.27,2024-03-15 01:00:00
743,14,0.0,19.21,7975.6,2024-03-15 01:00:00
744,15,0.0,11.76,15988.24,2024-03-15 01:00:00
745,16,0.0,10.41,63984.13,2024-03-15 01:00:00
746,17,0.0,9.91,63981.82,2024-03-15 01:00:00
747,18,0.0,4.71,15979.28,2024-03-15 01:00:00
748,25,0.0,3.15,63988.62,2024-03-15 01:00:00
749,26,0.0,4.73,31973.76,2024-03-15 01:00:00
750,28,0.0,10.79,15989.21,2024-03-15 01:00:00
751,29,0.0,13.65,7986.35,2024-03-15 01:00:00
752,30,0.0,15.57,15984.43,2024-03-15 01:00:00
753,28,0.0,2.22,15986.99,2024-03-15 01:00:00
754,29,0.0,3.04,7983.31,2024-03-15 01:00:00
755,28,0.0,15.12,15971.87,2024-03-15 01:00:00
756,29,0.0,15.13,7968.18,2024-03-15 01:00:00
757,30,0.0,14.44,15969.99,2024-03-15 01:00:00
1460,1,0.0,4.38,15990.64,2024-03-15 02:00:00
