InvoiceID,CustomerID,EmployeeID,GasStationID,IssueDate,TotalAmount,PaymentMethod
1,215,54,1,2024-03-15 00:00:00,189694.4,Cash
2,38,31,3,2024-03-15 00:00:00,769091.1,Cash
3,871,46,4,2024-03-15 00:00:00,128678.6,Cash
4,895,139,4,2024-03-15 00:00:00,59571.4,Credit Card
5,830,69,4,2024-03-15 00:00:00,91637.1,Credit Card
6,948,472,5,2024-03-15 00:00:00,90357.2,Cash
7,348,275,6,2024-03-15 00:00:00,652425.4,Cash
8,333,11,8,2024-03-15 00:00:00,124016.5,Credit Card
9,298,382,8,2024-03-15 00:00:00,113328.0,Credit Card
10,720,147,9,2024-03-15 00:00:00,171937.0,Credit Card
11,531,147,9,2024-03-15 00:00:00,907206.3,Credit Card
301,869,295,2,2024-03-15 01:00:00,196425.50000000003,Credit Card
302,242,448,2,2024-03-15 01:00:00,707444.4,Credit Card
303,328,31,3,2024-03-15 01:00:00,126693.0,Credit Card
304,453,216,3,2024-03-15 01:00:00,129089.69999999998,Credit Card
305,299,69,4,2024-03-15 01:00:00,990883.0,Cash
306,341,69,4,2024-03-15 01:00:00,82564.20000000001,Credit Card
307,243,221,5,2024-03-15 01:00:00,183440.7,Cash
308,872,190,5,2024-03-15 01:00:00,904542.4,Credit Card
309,220,161,6,2024-03-15 01:00:00,573029.3,Credit Card
310,678,147,9,2024-03-15 01:00:00,183428.8,Credit Card
311,592,194,10,2024-03-15 01:00:00,893547.5,Cash
312,811,26,10,2024-03-15 01:00:00,122549.0,Cash
313,919,26,10,2024-03-15 01:00:00,1007145.5,Credit Card
602,746,54,1,2024-03-15 02:00:00,193037.1,Cash
603,105,54,1,2024-03-15 02:00:00,541934.6,Credit Card
604,72,54,1,2024-03-15 02:00:00,170082.90000000002,Credit Card
605,397,448,2,2024-03-15 02:00:00,122317.2,Credit Card
606,160,31,3,2024-03-15 02:00:00,129961.0,Cash
607,989,69,4,2024-03-15 02:00:00,164362.8,Credit Card
608,524,69,4,2024-03-15 02:00:00,998451.2,Credit Card
609,100,472,5,2024-03-15 02:00:00,169531.80000000002,Cash
610,127,146,5,2024-03-15 02:00:00,145960.5,Cash
611,122,382,8,2024-03-15 02:00:00,162795.9,Cash
612,122,193,8,2024-03-15 02:00:00,175400.2,Cash
613,977,186,9,2024-03-15 02:00:00,686950.8999999999,Credit Card
614,363,186,9,2024-03-15 02:00:00,602288.8,Cash
615,24,194,10,2024-03-15 02:00:00,122479.9,Credit Card
871,185,295,2,2024-03-15 03:00:00,129962.1,Cash
872,227,295,2,2024-03-15 03:00:00,377725.9,Cash
873,441,345,2,2024-03-15 03:00:00,782321.2,Cash
874,129,376,3,2024-03-15 03:00:00,507063.9,Credit Card
875,910,258,3,2024-03-15 03:00:00,136649.3,Credit Card
876,545,258,3,2024-03-15 03:00:00,639675.7000000001,Credit Card
877,816,221,5,2024-03-15 03:00:00,145613.59999999998,Credit Card
