TankID,GasStationID,TankName,Capacity,MaterialType,CurrentQuantity
1,1,RON95-III Tank,20000,Steel,10737.259999999967
2,1,E5 RON92-II Tank,20000,Steel,11007.360000000011
3,1,"DO 0,001S-V Tank",80000,Steel,48516.34
4,2,RON95-III Tank,20000,Steel,11344.740000000016
5,2,E5 RON92-II Tank,10000,Steel,3893.2000000000016
6,2,"DO 0,001S-V Tank",10000,Steel,8778.300000000005
7,3,RON95-III Tank,80000,Steel,43054.05000000002
8,3,E5 RON92-II Tank,20000,Steel,10550.69
9,3,"DO 0,001S-V Tank",20000,Steel,16583.750000000015
10,4,RON95-III Tank,20000,Steel,11441.86
11,4,E5 RON92-II Tank,10000,Steel,3812.410000000007
12,4,"DO 0,001S-V Tank",40000,Steel,17316.460000000054
13,5,RON95-III Tank,80000,Steel,43330.13000000014
14,5,E5 RON92-II Tank,10000,Steel,3271.4499999999894
15,5,"DO 0,001S-V Tank",20000,Steel,17442.74
16,6,RON95-III Tank,80000,Steel,42217.91000000005
17,6,E5 RON92-II Tank,80000,Steel,41950.79999999993
18,6,"DO 0,001S-V Tank",20000,Steel,15850.049999999994
19,7,RON95-III Tank,40000,Steel,11308.670000000033
20,7,E5 RON92-II Tank,20000,Steel,11183.270000000011
21,7,"DO 0,001S-V Tank",80000,Steel,49079.77999999991
22,8,RON95-III Tank,10000,Steel,3236.6600000000017
23,8,E5 RON92-II Tank,10000,Steel,2664.2599999999948
24,8,"DO 0,001S-V Tank",40000,Steel,16267.520000000026
25,9,RON95-III Tank,80000,Steel,43776.54000000002
26,9,E5 RON92-II Tank,40000,Steel,11231.759999999957
27,9,"DO 0,001S-V Tank",10000,Steel,8573.250000000002
28,10,RON95-III Tank,20000,Steel,11510.030000000022
29,10,E5 RON92-II Tank,10000,Steel,3161.3399999999965
30,10,"DO 0,001S-V Tank",20000,Steel,16848.790000000034
